market,candle_date_time_utc,candle_date_time_kst,opening_price_upbit,high_price_upbit,low_price_upbit,trade_price_upbit,timestamp,candle_acc_trade_price_upbit,candle_acc_trade_volume_upbit,unit_upbit,source_upbit,source_binance,candle_date_time_utc_x,opening_price_binance,high_price_binance,low_price_binance,trade_price_binance,candle_acc_trade_price_binance,candle_acc_trade_volume_binance
BTC/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,96560.51873198849,96560.51873198849,96539.62536023057,96540.34582132564,1732976399673,816297618.86672,6.0916883,5,Upbit,Binance,2024-11-30 10:15:00,96774.3,96774.31,96500.0,96500.0,10790996.1,111.72
NEO/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,15.770893371757923,15.785302593659942,15.763688760806916,15.785302593659942,1732976385821,27434618.9826745,1252.86228063,5,Upbit,Binance,2024-11-30 10:15:00,15.86,15.86,15.7,15.71,159172.32,10103.86
ETC/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,32.78097982708934,32.83861671469741,32.773775216138326,32.79538904899135,1732976398227,479553089.1862711,10533.06410723,5,Upbit,Binance,2024-11-30 10:15:00,33.04,33.04,32.73,32.75,363460.97,11066.04
QTUM/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,3.9048991354466858,3.925792507204611,3.9048991354466858,3.9157060518731983,1732976383515,20507837.88400864,3772.99556473,5,Upbit,Binance,2024-11-30 10:15:00,3.91,3.91,3.88,3.88,7628.72,1955.3
SNT/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,0.0451224783861671,0.0453530259365994,0.04507204610951,0.0452665706051873,1732976375067,58343217.32526648,930207.66960642,5,Upbit,Binance,2024-11-30 10:15:00,0.05,0.05,0.04,0.04,26666.24,591709.0
ETH/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,3680.835734870317,3680.835734870317,3678.6743515850144,3679.394812680115,1732976398956,523887432.57914,102.56487954,5,Upbit,Binance,2024-11-30 10:15:00,3685.62,3686.49,3670.0,3670.79,9380068.94,2552.0
XRP/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,1.8472622478386167,1.8674351585014408,1.845821325648415,1.8674351585014408,1732976400022,9365431839.7048,3633726.48837547,5,Upbit,Binance,2024-11-30 10:15:00,1.89,1.89,1.85,1.86,14831962.53,7940232.0
MTL/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,1.5252161383285303,1.5295389048991357,1.5252161383285303,1.5273775216138328,1732976390817,47792273.38880427,22538.72957097,5,Upbit,Binance,2024-11-30 10:15:00,1.53,1.53,1.52,1.52,3370.8,2214.4
STEEM/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,0.2651296829971181,0.2662103746397694,0.2651296829971181,0.2662103746397694,1732976399659,51422178.00725484,139647.07383836,5,Upbit,Binance,2024-11-30 10:15:00,0.27,0.27,0.27,0.27,4719.49,17725.9
XLM/USDT,2024-11-30T14:15:00,2024-11-30T23:15:00,0.5273054755043227,0.5288184438040345,0.5273054755043227,0.5281700288184438,1732976399621,1261802413.4561355,1721154.69817436,5,Upbit,Binance,2024-11-30 10:15:00,0.54,0.54,0.53,0.53,1578179.74,2961524.0
