market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit,source
BTC/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,96609.94953136265,96612.11247296323,96540.01441961067,96547.22422494592,1732976699913,970140371.85723,7.24147846,5,Upbit
ETH/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,3682.047584715213,3682.7685652487385,3677.721701514059,3677.721701514059,1732976699367,598065430.41843,117.15937277,5,Upbit
WAVES/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,2.2523431867339583,2.2588320115356884,2.247296322999279,2.2552271088680604,1732976699173,221612705.39547932,70943.17120206,5,Upbit
ETC/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,32.840663302090846,32.840663302090846,32.69646719538572,32.71088680605624,1732976698523,713220250.9037329,15698.19237094,5,Upbit
XRP/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,1.868060562364816,1.8738284066330209,1.8658976207642393,1.8709444844989185,1732976699807,13970654959.10901,5384647.37351711,5,Upbit
NEO/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,15.796683489545781,15.825522710886807,15.775054073540014,15.811103100216295,1732976696737,98213928.0677244,4482.95000027,5,Upbit
SNT/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,0.04529920692141312,0.04537130497476568,0.045205479452054796,0.04524873828406633,1732976698362,37835405.1093023,602213.8196345,5,Upbit
MTL/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,1.528478731074261,1.5306416726748377,1.528478731074261,1.5291997116077867,1732976665652,25754447.46223254,12144.59486861,5,Upbit
XEM/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,0.03389329488103821,0.03409516943042538,0.03384282624369142,0.03409516943042538,1732976695679,323812986.3332267,6877717.08589685,5,Upbit
QTUM/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,3.9185291997116076,3.925739005046864,3.9084354722422496,3.916366258111031,1732976690630,27211196.15977341,5006.55769615,5,Upbit
LSK/USDT,2024-11-30T14:20:00,2024-11-30T23:20:00,1.3028118240807498,1.3028118240807498,1.2977649603460706,1.2977649603460706,1732976680530,37215424.5078808,20628.33394393,5,Upbit
